City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Tura,IN,75.02,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
2,Muli,MV,83.05,broken clouds,2.92,73.57,Medhufushi Island Resort
4,Marienburg,PL,75.88,broken clouds,54.04,19.03,Hotel Centrum Malbork
9,Jamestown,US,83.08,light rain,42.1,-79.24,Hampton Inn & Suites Jamestown
12,Ishigaki,JP,82.27,overcast clouds,24.34,124.16,Hotel Peace Land Ishigakijima
13,Kapaa,US,80.92,light rain,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
15,Marsabit,KE,74.57,scattered clouds,2.33,37.99,Chicho Hotel
17,Havre-Saint-Pierre,CA,75.56,broken clouds,50.23,-63.6,Auberge Niapiskau
19,Salinas,US,86.2,clear sky,36.68,-121.66,Laurel Inn & Conference Center
24,Wanning,CN,82.06,light rain,18.8,110.4,Paradise Hotel
26,Tukuran,PH,76.44,moderate rain,7.86,123.58,Corvada
27,Los Llanos De Aridane,ES,72.12,scattered clouds,28.66,-17.92,Valle Aridane
28,Rikitea,PF,73.9,few clouds,-23.12,-134.97,People ThankYou
35,Butaritari,KI,81.72,light rain,3.07,172.79,Isles Sunset Lodge
37,Hasanabad,IR,89.82,clear sky,36.55,61.05,
38,Atuona,PF,77.22,clear sky,-9.8,-139.03,Villa Enata
41,Bentiu,SS,75.49,overcast clouds,9.23,29.83,Mandela hôtel
42,Komsomolskiy,UZ,83.12,broken clouds,40.43,71.72,Ikathouse
44,Saint-Joseph,RE,70.16,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
45,Sur,OM,87.55,overcast clouds,22.57,59.53,Sur Plaza Hotel
47,Sept-Iles,CA,73.26,few clouds,50.2,-66.38,Comfort Inn
55,Bontang,ID,75.7,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
58,Port Hardy,CA,66.38,few clouds,50.7,-127.42,Airport Inn
59,Cobija,BO,82.58,clear sky,-11.03,-68.77,Hotel Obelisco
61,Nhulunbuy,AU,75.81,broken clouds,-12.23,136.77,East Arnhem Real Estate
64,Naze,JP,78.06,broken clouds,28.37,129.48,Amami Port Tower Hotel
70,Nuuk,GL,65.01,sand,64.18,-51.72,Vandrehuset
72,Guerrero Negro,MX,83.37,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
73,Katsuura,JP,78.91,moderate rain,35.13,140.3,Katsuura Hotel Mikazuki
74,Itigi,TZ,71.15,broken clouds,-5.7,34.48,Hostel San Sebastiano
75,Pisco,PE,66.02,clear sky,-13.7,-76.22,Hotel San Isidro Oficial
78,Gualaquiza,EC,74.75,light rain,-3.4,-78.55,Hotel Merceditas
81,Morehead,US,89.11,scattered clouds,37.27,-87.18,CCI Express Inn
83,Lagoa,PT,73.94,scattered clouds,39.05,-27.98,Casa Das Faias
85,Fortuna,US,66.97,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
87,Prince Rupert,CA,68.09,clear sky,54.32,-130.32,Crest Hotel
91,Safford,US,88.72,clear sky,32.83,-109.71,SpringHill Suites by Marriott Thatcher
92,Grobina,LV,69.66,overcast clouds,56.54,21.17,"Active tourism center ""Curonian Viking settlement"""
93,Ugoofaaru,MV,82.72,overcast clouds,5.67,73.0,Ungoofaaru Inn
95,Belle Fourche,US,82.89,scattered clouds,44.67,-103.85,Kings Inn
96,Torbay,CA,71.28,broken clouds,47.67,-52.73,Gallows Cove
98,Mahebourg,MU,68.25,few clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
101,Lompoc,US,89.22,clear sky,34.64,-120.46,"Holiday Inn Express Lompoc, an IHG Hotel"
102,Totness,SR,83.1,broken clouds,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
103,Avarua,CK,68.05,light intensity drizzle,-21.21,-159.78,Paradise Inn
104,Bambous Virieux,MU,68.22,few clouds,-20.34,57.76,Casa Tia Villa
106,Faanui,PF,78.48,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
107,Ribeira Grande,PT,75.6,broken clouds,38.52,-28.7,Quinta da Meia Eira
108,Maracacume,BR,81.07,scattered clouds,-2.04,-45.96,POUSADA CASTELO
109,Kamenka,RU,65.21,overcast clouds,51.32,42.77,
111,Am Timan,TD,74.48,moderate rain,11.03,20.28,Palais du chef Canton Salamt
114,Hilo,US,76.12,light rain,19.73,-155.09,Hilo Hawaiian Hotel
117,Auki,SB,75.85,broken clouds,-8.77,160.7,Auki Motel
