City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,2021-08-13 18:27:01,-42.78,147.06,45.72,70,60,1.01,broken clouds
1,Tura,IN,2021-08-13 18:27:45,25.52,90.22,75.02,98,100,4.79,overcast clouds
2,Muli,MV,2021-08-13 18:27:45,2.92,73.57,83.05,70,75,17.47,broken clouds
3,Vaini,TO,2021-08-13 18:27:45,-21.2,-175.2,64.56,94,75,4.61,broken clouds
4,Marienburg,PL,2021-08-13 18:27:46,54.04,19.03,75.88,55,73,9.06,broken clouds
5,Dikson,RU,2021-08-13 18:27:46,73.51,80.55,44.1,100,100,2.68,overcast clouds
6,Thompson,CA,2021-08-13 18:27:46,55.74,-97.86,62.76,48,75,17.27,broken clouds
7,Emerald,AU,2021-08-13 18:27:47,-23.53,148.17,57.34,88,5,6.91,clear sky
8,Ushuaia,AR,2021-08-13 18:25:14,-54.8,-68.3,37.06,93,75,12.66,drizzle
9,Jamestown,US,2021-08-13 18:27:47,42.1,-79.24,83.08,85,75,7.0,light rain
10,Severo-Kurilsk,RU,2021-08-13 18:27:47,50.68,156.12,52.72,92,7,7.56,clear sky
11,Kodiak,US,2021-08-13 18:23:40,57.79,-152.41,56.71,54,1,12.66,clear sky
12,Ishigaki,JP,2021-08-13 18:27:48,24.34,124.16,82.27,84,87,21.23,overcast clouds
13,Kapaa,US,2021-08-13 18:27:48,22.08,-159.32,80.92,76,40,3.0,light rain
14,Svetlogorsk,BY,2021-08-13 18:27:48,52.63,29.73,62.71,63,22,6.04,few clouds
15,Marsabit,KE,2021-08-13 18:27:48,2.33,37.99,74.57,41,49,18.81,scattered clouds
16,Pokosnoye,RU,2021-08-13 18:27:49,55.53,101.05,57.0,95,15,3.38,few clouds
17,Havre-Saint-Pierre,CA,2021-08-13 18:27:33,50.23,-63.6,75.56,78,75,8.05,broken clouds
18,Hovd,MN,2021-08-13 18:27:49,48.01,91.64,63.32,56,93,5.01,overcast clouds
19,Salinas,US,2021-08-13 18:27:49,36.68,-121.66,86.2,65,1,8.05,clear sky
20,Albany,US,2021-08-13 18:27:09,42.6,-73.97,91.76,60,54,4.0,broken clouds
21,Iqaluit,CA,2021-08-13 18:27:50,63.75,-68.51,42.53,100,75,11.5,fog
22,Noumea,NC,2021-08-13 18:27:50,-22.28,166.46,62.58,75,69,10.22,broken clouds
23,Husavik,IS,2021-08-13 18:27:50,66.04,-17.34,55.31,77,77,4.85,broken clouds
24,Wanning,CN,2021-08-13 18:27:51,18.8,110.4,82.06,84,99,11.99,light rain
25,Khatanga,RU,2021-08-13 18:24:13,71.97,102.5,50.7,80,100,9.1,overcast clouds
26,Tukuran,PH,2021-08-13 18:27:51,7.86,123.58,76.44,93,99,1.12,moderate rain
27,Los Llanos De Aridane,ES,2021-08-13 18:27:51,28.66,-17.92,72.12,83,40,13.8,scattered clouds
28,Rikitea,PF,2021-08-13 18:27:51,-23.12,-134.97,73.9,79,17,6.71,few clouds
29,Kaitangata,NZ,2021-08-13 18:27:52,-46.28,169.85,42.51,82,46,8.95,moderate rain
30,Balsas,BR,2021-08-13 18:27:52,-7.53,-46.04,100.22,18,14,6.06,few clouds
31,Raudeberg,NO,2021-08-13 18:27:52,61.99,5.14,62.2,80,99,4.85,light rain
32,Bluff,NZ,2021-08-13 18:27:53,-46.6,168.33,42.8,85,72,28.34,broken clouds
33,Barrow,US,2021-08-13 18:27:53,71.29,-156.79,37.42,87,90,11.5,overcast clouds
34,Jalu,LY,2021-08-13 18:27:53,29.03,21.55,95.85,23,0,15.14,clear sky
35,Butaritari,KI,2021-08-13 18:27:53,3.07,172.79,81.72,76,35,9.73,light rain
36,Saldanha,ZA,2021-08-13 18:27:54,-33.01,17.94,51.85,66,0,10.6,clear sky
37,Hasanabad,IR,2021-08-13 18:27:54,36.55,61.05,89.82,20,0,4.61,clear sky
38,Atuona,PF,2021-08-13 18:27:54,-9.8,-139.03,77.22,77,7,18.45,clear sky
39,Qaanaaq,GL,2021-08-13 18:27:54,77.48,-69.36,43.09,57,1,5.82,clear sky
40,Pampas,PE,2021-08-13 18:27:55,-12.4,-74.9,61.9,46,64,7.87,broken clouds
41,Bentiu,SS,2021-08-13 18:27:55,9.23,29.83,75.49,85,91,4.23,overcast clouds
42,Komsomolskiy,UZ,2021-08-13 18:27:45,40.43,71.72,83.12,21,52,23.02,broken clouds
43,Busselton,AU,2021-08-13 18:26:26,-33.65,115.33,48.04,85,64,2.82,broken clouds
44,Saint-Joseph,RE,2021-08-13 18:27:55,-21.37,55.62,70.16,78,21,4.27,few clouds
45,Sur,OM,2021-08-13 18:27:56,22.57,59.53,87.55,59,100,13.09,overcast clouds
46,Nome,US,2021-08-13 18:27:56,64.5,-165.41,42.87,70,90,5.75,overcast clouds
47,Sept-Iles,CA,2021-08-13 18:23:48,50.2,-66.38,73.26,84,20,5.01,few clouds
48,Cherskiy,RU,2021-08-13 18:27:01,68.75,161.3,51.62,94,93,8.41,light rain
49,Tiksi,RU,2021-08-13 18:27:56,71.69,128.87,43.38,77,100,5.19,overcast clouds
50,Longyearbyen,SJ,2021-08-13 18:27:56,78.22,15.64,44.44,65,75,11.5,broken clouds
51,Cabo San Lucas,MX,2021-08-13 18:27:57,22.89,-109.91,91.51,71,40,4.0,scattered clouds
52,Airai,TL,2021-08-13 18:27:57,-8.93,125.41,56.03,54,6,3.44,clear sky
53,Qinggang,CN,2021-08-13 18:27:57,46.68,126.08,58.23,94,84,6.35,broken clouds
54,Saint George,US,2021-08-13 18:26:37,37.1,-113.58,99.54,31,1,1.01,clear sky
55,Bontang,ID,2021-08-13 18:27:58,0.13,117.5,75.7,88,99,4.56,overcast clouds
56,Tuktoyaktuk,CA,2021-08-13 18:27:58,69.45,-133.04,42.8,75,90,11.5,light rain
57,Yellowknife,CA,2021-08-13 18:24:04,62.46,-114.35,64.92,68,75,12.66,broken clouds
58,Port Hardy,CA,2021-08-13 18:27:58,50.7,-127.42,66.38,77,20,3.44,few clouds
59,Cobija,BO,2021-08-13 18:27:59,-11.03,-68.77,82.58,44,0,8.05,clear sky
60,Hobart,AU,2021-08-13 18:27:59,-42.88,147.33,46.06,73,44,5.01,scattered clouds
61,Nhulunbuy,AU,2021-08-13 18:27:59,-12.23,136.77,75.81,83,75,8.05,broken clouds
62,Castro,BR,2021-08-13 18:27:59,-24.79,-50.01,50.38,98,100,5.97,overcast clouds
63,Rio Grande,BR,2021-08-13 18:28:00,-32.03,-52.1,62.71,71,94,11.86,overcast clouds
64,Naze,JP,2021-08-13 18:28:00,28.37,129.48,78.06,87,69,19.13,broken clouds
65,Port Alfred,ZA,2021-08-13 18:26:17,-33.59,26.89,57.06,61,58,9.55,broken clouds
66,Togur,RU,2021-08-13 18:28:00,58.36,82.83,50.11,79,56,7.02,broken clouds
67,Aswan,EG,2021-08-13 18:27:49,24.09,32.91,97.0,13,3,9.33,clear sky
68,Namibe,AO,2021-08-13 18:26:53,-15.2,12.15,63.0,86,32,7.23,scattered clouds
69,Yerbogachen,RU,2021-08-13 18:28:01,61.28,108.01,61.3,87,100,4.43,overcast clouds
70,Nuuk,GL,2021-08-13 18:28:01,64.18,-51.72,65.01,39,90,34.52,sand
71,Laguna,US,2021-08-13 18:24:22,38.42,-121.42,99.64,51,1,3.44,haze
72,Guerrero Negro,MX,2021-08-13 18:27:21,27.98,-114.06,83.37,63,2,9.89,clear sky
73,Katsuura,JP,2021-08-13 18:28:01,35.13,140.3,78.91,91,100,27.18,moderate rain
74,Itigi,TZ,2021-08-13 18:28:02,-5.7,34.48,71.15,44,70,5.08,broken clouds
75,Pisco,PE,2021-08-13 18:26:36,-13.7,-76.22,66.02,77,1,12.66,clear sky
76,Atasu,KZ,2021-08-13 18:28:02,48.68,71.64,53.92,66,24,5.79,few clouds
